,comment_lengths,comments,mags,scores,times
0,61,"All I read was ""Limpeh coming back for you this weekend""  ???",0.3,0.3,2017-06-14T01:47:43+0000
1,620,"Dear Sir, as outsiders, it is unfair for any of us to judge your family matters and I felt very sad as a Singaporean that your siblings had chosen such a way to put the interest of stability of Singapore aside to make such allegations arising out of a family dispute. Singapore is in good hands of good leadership and a very capable team, I am still very proud and assured to have you as our PM. It is very easy for anyone to just complain and leave the country while it is the toughest for one who stay behind and guard the interest of the country under the eyes of the citizens. Please take care and have a good break.",2.3,0.3,2017-06-14T02:19:32+0000
2,618,LKY has passed on 2 years ago. His last will should have been settled by now. Seeing as how your siblings only put out a message now goes to show that things have really gone out of hand. They had no other choice but to put out such a condemning statement.   Preserving your father's home will not aid your legacy. Only the job you have done would mean anything. Singapore is a meritocratic democracy. Not a monarchy. Another Lee who deserves the job just because he is LKY's grandson is not in line with LKY's legacy of meritocracy. Therefore respect the old man's wishes and demolish the house with immediate effect.,3.3,0,2017-06-14T02:56:21+0000
3,133,"Dear sir, vacation leave is a sacred issue for all Singaporeans. Please have a good break and deal with this only when you come back.",0.1,0,2017-06-14T01:51:36+0000
4,315,"What I see is that as the PM, our PM has to balance the needs of the family versus the needs of the nation.   Yes, Mr Hsien Yang and Ms Wei Ling wants the home to be demolished in respect to Mr LKY's wishes, but as PM, things are never that clear cut.   Family First or Nation First? That's the Conundrum of PM Lee.",1,0.1,2017-06-14T01:53:39+0000
5,451,"Dear PM Sir, 2 moments that stayed with me.  1. The teary moment where you had to play the role of mourning eldest son and PM of Singapore during LKY's funeral.  2. NDR where you fought back despite falling during your speech.  No one should doubt you and LKY's love for Our Singapore.  We have absolute faith and confidence in your leadership.  We count our blessings to have you as our PM.  We are with you in this private family matter.  God bless.",3.9,0.2,2017-06-14T02:28:40+0000
6,798,"[In fact, despite the numerous attacks by Lee Wei Ling in the past years against her brother, I can?t help but noticed that never once PM Lee retaliated in kind, especially in public. In fact, isn?t the preservation of a family home the very act of keeping a family together? And who stabs someone in the back at 3am under the cover of darkness while he is overseas holidaying anyways? One might wonder if such actions are in fact a departure from Lee Kuan Yew?s values.]  Lee Hsien Loong is a brother as well as the Prime Minister. He's first and foremost an Elected MP and PM, his responsibility is to uphold the law of the land. His hand might be tied by the Preservation of Monuments Act which LKY enacted in 1971. What LHY and LWL asking their Brother to do is break law to serve their agenda.",2.3,0.1,2017-06-14T01:53:51+0000
7,430,"Disappointed to read about this when I woke up this morning.  The family is the basic building block of society.  Having said that, every family has its own problems and disagreements are part of who we are as humans.  It's even more difficult when a family disagreement becomes so public and has political implications. Praying that God's shalom peace will be upon you and your family, and true harmony will be speedily restored.",2,0,2017-06-14T02:00:41+0000
8,433,"We believe in you. No loss if yr younger bro chooses to leave Sing. I thought yr son was excellent and under-stated when he gv the eulogy, unlike the other. Very vicious of them to drag him in. And the timing of the article, released when you are not in Sing, speaks volumes of their motive. I hope yr siblings will stop posting family matters on social media. Doesn't reflect well on them. Disgusting.  Just focus on governing Sing.",4.3,0,2017-06-14T01:57:57+0000
9,230,"Dear Mr Lee, how true you have said. Family matters should stay within n private. Do hang in there strong. We will be there for you. We believe you will try to do your best for your parents as well as the country.... Fighting !!!!",2,0.3,2017-06-14T01:54:38+0000
10,589,"Sir PM Lee you should seriously consider  suing your own siblings for these 'baseless allegation' these allegation carried far more weight than Roy's online articles!  (added below) OK the PM and his wife sue or not sue in their personal capacity is none of our concern. Their family dirty linen and fight at home also not our problem. But if the allegation is baseless, the Government need to respond officially such as setup a COI to investigate allegation made against the Organs of State namely,  the appointment of new AGC,  Ministry of National Development and Prime Minister Office.",1.1,-0.3,2017-06-14T01:46:20+0000
11,509,The Lee saga...is a selfish act of both ms Lee n Mr Lee against prime minister Lee....it's a family affair...but bringing onto the table. ...it showed how The Late Mr n Mrs Lee teaching for the lir children. ...it affect PM Lee on the world stage....and even show the weakness of Singapore....that home problem not able to settle...international issue how to settle....I hope the Lee family to settle the family issue behind close door. ....Lee family issue now become a talk of comic n coffees hop talk. ....,0.8,0.1,2017-06-14T01:50:37+0000
12,856,"""I further declare that it is my wish, and the wish of my late wife, KWA GEOK CHOO, that our house at 38 Oxley Road, Singapore 238629 (?the House?) be demolished immediately after my death or, if my daughter, Wei Ling, would prefer to continue living in the original house, immediately after she moves out of the House. I would ask each of my children to ensure our wishes with respect to the demolition of the House be carried out. If our children are unable to demolish the House as a result of any changes in the law, rules or regulations binding them, it is my wish that the House never be opened to others except my children, their families and descendants. My view on this has been made public before and remains unchanged. My statement of wishes in this paragraph 7 may be publicly disclosed notwithstanding that the rest of my Will is private.? LKY",1.3,0,2017-06-14T04:05:20+0000
13,106,"Family matters also want to publicise, really ridiculous...stay strong and enjoy your holiday with family.",0.5,-0.5,2017-06-14T01:50:33+0000
14,385,"Mr Lee: it's indeed very sad and I am relieved that your father never saw such behaviors from your siblings. Their motives could be envy but at the end of the day, what matter are Singaporean giving you their trust. I am one of them. Take care of yourself and supportive wife, it probably hurts deeply but find strength with your families, friends and us all. May you always be blessed",1.7,0.2,2017-06-14T01:52:59+0000
15,290,"Many parts of the world are in disarray today, and many great cities border by the threats of lawlessness. I think many thinking Singaporeans know that this did not happen by chance. It is about making things work in our country. I and my children are thankful for the peace of our country.",1.2,0.1,2017-06-14T01:54:22+0000
16,310,"We are behind you, Sir. Family disputes are always common in a family. Let this be resolve among you and your siblings. We are sure your family and you will able to understand and have a common understanding at the end.  Jiayou! We will be there for you. Just like you been there for Singapore, for Singaporean",2,0.2,2017-06-14T02:12:57+0000
17,173,"Hang in there Mr Prime Minister. I believe majority Singaporeans will still support your policies. But if it is family matters, it's good to respect your late father's wish.",0.8,0.2,2017-06-14T01:47:08+0000
18,150,Please enjoy the personal holiday break- and I hope your family matters can be resolved privately subsequently. It's not easy being a public figure...,0.3,0.1,2017-06-14T01:59:41+0000
19,203,Thank you sir. The timing of the post is opportune and is aimed for maximum exposure. We trust in your leadership and agree family matters should not be discussed in such a manner. Have a good break sir.,1.9,0.3,2017-06-14T01:58:02+0000
